frame_idx,latency_ms,single_frame_count,temporal_no_imu_count,temporal_with_imu_count,persistence_no_imu,persistence_with_imu,pos_no_x,pos_no_y,pos_with_x,pos_with_y
26,160.58,7,19,18,0.531,0.471,0.3712380012653251,-4.41071364987135,-0.13571105714516424,-4.423287898296377
27,162.69,11,18,19,0.504,0.498,0.3712380012653251,-4.41071364987135,-0.38749466818261136,-4.417649377773896
28,163.46,8,20,18,0.501,0.486,-0.08625645902224033,-4.463964425665227,-0.6328597873263242,-4.462258539973311
29,160.63,11,21,19,0.518,0.526,-0.08625645902224033,-4.463964425665227,-0.8998231304165233,-4.447664881210926
30,140.84,4,18,17,0.467,0.458,-0.5713993197787819,-4.484107229756508,-1.1552754392553535,-4.464720979119163
31,141.06,11,24,22,0.585,0.579,-0.5713993197787819,-4.484107229756508,-1.436259199213108,-4.439867542740511
32,132.73,4,15,16,0.454,0.438,-1.0816878103606509,-4.518747882941543,-1.700234037510271,-4.47848780971079
33,143.74,13,18,20,0.529,0.538,-1.0816878103606509,-4.518747882941543,-1.9948206666772208,-4.442115057148672
34,140.76,3,15,15,0.45,0.433,-1.619383925799823,-4.50523552808705,-2.2707541186220896,-4.4410628040854805
35,130.62,11,18,18,0.541,0.544,-1.619383925799823,-4.50523552808705,-2.5248813604819165,-4.420932150197247
36,126.69,2,14,14,0.434,0.436,-2.1473512407507824,-4.496230562848454,-2.743387637681874,-4.456151771027239
37,127.64,8,15,15,0.446,0.456,-2.1473512407507824,-4.496230562848454,-2.935067007286377,-4.477891355738906
38,137.27,3,15,15,0.425,0.426,-2.61500771234753,-4.503439123609388,-3.1404466625667236,-4.507347846600222
39,154.84,10,15,15,0.426,0.488,-2.61500771234753,-4.503439123609388,-3.333225111148182,-4.535456844472356
40,185.05,3,16,15,0.447,0.466,-3.018396565888092,-4.547128467007281,-3.5083012389841732,-4.580431765468421
41,131.98,8,13,13,0.436,0.469,-3.018396565888092,-4.547128467007281,-3.704540171854232,-4.612263673894053
42,117.3,1,12,12,0.427,0.438,-3.4351732977962377,-4.568721664743855,-3.9096245940699053,-4.621814697499357
43,118.18,7,12,12,0.482,0.487,-3.4351732977962377,-4.568721664743855,-4.109376131714466,-4.657660087658657
44,119.57,1,10,10,0.427,0.43,-3.8190232758953613,-4.615815954311012,-4.288882601348764,-4.683884341349991
45,113.59,10,13,11,0.54,0.577,-3.8190232758953613,-4.615815954311012,-4.491786785776575,-4.723668470192451
46,116.57,1,11,9,0.432,0.452,-4.221571719519608,-4.685914923579103,-4.692296396310768,-4.766286525427152
47,120.52,10,14,15,0.547,0.621,-4.221571719519608,-4.685914923579103,-4.8980344964724,-4.810314764549124
48,105.66,1,12,11,0.431,0.438,-4.591021611139616,-4.733324685321443,-5.065196499016948,-4.824893510790938
49,107.0,6,10,11,0.449,0.432,-4.591021611139616,-4.733324685321443,-5.273876363076156,-4.872970123276127
50,110.41,1,10,11,0.421,0.408,-5.05463398096151,-4.782074463341306,-5.548531760553121,-4.865234816275302
51,117.32,8,10,13,0.505,0.417,-5.05463398096151,-4.782074463341306,-5.756375884366314,-4.8560740492977335
52,115.92,1,9,13,0.421,0.389,-5.468240619566057,-4.8059170485481495,-5.933325036884084,-4.832769663267091
53,122.49,6,10,12,0.442,0.389,-5.468240619566057,-4.8059170485481495,-6.047103927754804,-4.804995885088048
54,118.55,1,10,12,0.407,0.37,-5.760162855587905,-4.798488822124878,-6.089477809676137,-4.794063638717679
