condition,frame_idx,w_cam,w_lidar,r_cam,r_lidar
Both_Degraded,5,0.0,1.0,0.01,0.07290873744874785
Both_Degraded,9,0.0,1.0,0.01,0.06509247304713983
Both_Degraded,11,0.0,1.0,0.01,0.07165011246846015
Both_Degraded,13,0.0,1.0,0.01,0.08067903328769113
Both_Degraded,15,0.0,1.0,0.01,0.07963446250290421
Both_Degraded,17,0.0,1.0,0.01,0.05938509997046604
Both_Degraded,19,0.0,1.0,0.01,0.10351064565240223
Both_Degraded,21,0.0,1.0,0.01,0.06394206114197881
Both_Degraded,23,0.0,1.0,0.01,0.0718787921065137
Both_Degraded,25,0.0,1.0,0.01,0.09247281753718217
Both_Degraded,29,0.0,1.0,0.01,0.1378138015399324
Both_Degraded,31,0.0,1.0,0.01,0.08144900623034315
Both_Degraded,37,0.0,1.0,0.01,0.10493167195257544
Both_Degraded,45,0.0,1.0,0.01,0.05203388801865526
Both_Degraded,59,0.0,1.0,0.01,0.05837033904506962
Both_Degraded,61,0.0,1.0,0.01,0.07083913544476955
Camera_Outage,0,0.0,1.0,0.01,0.2118799205458893
Camera_Outage,1,0.0,1.0,0.01,0.21071720751657289
Camera_Outage,2,0.0,1.0,0.01,0.28421395998979165
Camera_Outage,3,0.0,1.0,0.01,0.179470278858303
Camera_Outage,4,0.0,1.0,0.01,0.27348515933102746
Camera_Outage,5,0.0,1.0,0.009999999999999998,0.22971722128507954
Camera_Outage,6,0.0,1.0,0.01,0.2789637282726907
Camera_Outage,7,0.0,1.0,0.009999999999999998,0.28791519096504964
Camera_Outage,8,0.0,1.0,0.01,0.22301052244695402
Camera_Outage,9,0.0,1.0,0.009999999999999998,0.21953872805978908
Camera_Outage,10,0.0,1.0,0.01,0.2926524650563712
Camera_Outage,11,0.0,1.0,0.009999999999999998,0.22734698872378395
Camera_Outage,12,0.0,1.0,0.01,0.2555404532710997
Camera_Outage,13,0.0,1.0,0.009999999999999998,0.20490486983958758
Camera_Outage,14,0.0,1.0,0.01,0.3043664003468134
Camera_Outage,15,0.0,1.0,0.01,0.21098649756044854
Camera_Outage,16,0.0,1.0,0.01,0.24984337108506852
Camera_Outage,17,0.0,1.0,0.009999999999999998,0.2643782500019506
Camera_Outage,18,0.0,1.0,0.01,0.29215344058831755
Camera_Outage,19,0.0,1.0,0.009999999999999998,0.23096665050657442
Camera_Outage,20,0.0,1.0,0.01,0.265983166252344
Camera_Outage,21,0.0,1.0,0.01,0.23333185765746295
Camera_Outage,22,0.0,1.0,0.01,0.22068676801468456
Camera_Outage,23,0.0,1.0,0.01,0.2084871815653888
Camera_Outage,24,0.0,1.0,0.01,0.30156466550720123
Camera_Outage,25,0.0,1.0,0.009999999999999998,0.24908444034195074
Camera_Outage,26,0.0,1.0,0.01,0.24428931667630907
Camera_Outage,27,0.0,1.0,0.009999999999999998,0.207356915718938
Camera_Outage,28,0.0,1.0,0.01,0.2624267011472754
Camera_Outage,29,0.0,1.0,0.009999999999999998,0.2666884702443816
Camera_Outage,30,0.0,1.0,0.01,0.2332295646592985
