frame_id,timestamp,segment_id,description,blur_kernel,illumination_factor,lidar_dropout_ratio,speed_mps,accel_x_mps2,yaw_rate_dps,r_cam,r_lidar,w_cam,w_lidar,cam_health,lidar_health,confidence,cam_raw_conf,lidar_raw_conf,cross_modal_consistency,track_count,temporal_persistence,cam_detections,lidar_clusters,fused_detections,gt_targets,precision,recall,f1_score,loc_error_m,latency_ms,fps
30,3637.112287882716,camera_recovery,Camera recovery to nominal sharpness and lighting,9,0.7555555555555555,0.0,3.93,1.97,20.07,0.01,0.2328,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2328,0.0,0.193,0.5,18,0.456,0,4,4,4,1.0,1.0,1.0,0.0155,174.13,5.7
31,3637.162287883461,camera_recovery,Camera recovery to nominal sharpness and lighting,7,0.8166666666666667,0.0,4.03,1.89,20.42,0.01,0.2459,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2459,0.0,0.3746,0.5,18,0.449,0,10,10,10,1.0,1.0,1.0,0.0042,181.92,5.5
32,3637.2122878842056,camera_recovery,Camera recovery to nominal sharpness and lighting,5,0.8777777777777778,0.0,4.13,1.86,20.99,0.01,0.2477,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2477,0.4285,0.2683,0.5,16,0.438,1,4,4,4,1.0,1.0,1.0,0.0,242.76,4.1
33,3637.262287884951,camera_recovery,Camera recovery to nominal sharpness and lighting,3,0.9388888888888889,0.0,4.23,1.8,21.36,0.01,0.2023,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2023,0.4557,0.2345,0.5,17,0.457,4,12,12,12,1.0,1.0,1.0,0.0066,285.59,3.5
34,3637.312287885696,camera_recovery,Camera recovery to nominal sharpness and lighting,1,1.0,0.0,4.33,1.77,21.86,0.01,0.2833,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2833,0.4701,0.3775,0.5,15,0.437,6,3,3,3,1.0,1.0,1.0,0.0441,163.7,6.1
35,3637.3622878864408,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.1,4.41,2.07,8.73,0.01,0.2081,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2081,0.3875,0.3275,0.5,16,0.475,7,13,13,11,0.6923,0.8182,0.75,0.4439,163.66,6.1
36,3637.412287887186,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.18333333333333335,4.45,1.45,-4.47,0.01,0.2268,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2268,0.4876,0.1814,0.5,15,0.445,7,2,2,2,1.0,1.0,1.0,1.1705,157.33,6.4
37,3637.462287887931,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.26666666666666666,4.5,0.97,-8.58,0.01,0.2079,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2079,0.3831,0.5158,0.5,14,0.449,5,16,16,8,0.3125,0.625,0.4167,0.911,249.36,4.0
38,3637.512287888676,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.35,4.56,1.06,-9.33,0.01,0.1941,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.1941,0.4427,0.5701,0.5,14,0.457,7,6,6,3,0.1667,0.3333,0.2222,1.6868,221.99,4.5
39,3637.562287889421,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.43333333333333335,4.61,1.03,-9.57,0.01,0.2486,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2486,0.4867,0.651,0.5,13,0.557,6,8,8,10,0.25,0.2,0.2222,1.7482,214.75,4.7
40,3637.612287890166,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.5166666666666667,4.66,0.98,-9.66,0.01,0.1479,0.0,1.0,FAILED,FAILED,0.1479,0.4586,0.5016,0.5,13,0.522,7,4,4,3,0.25,0.3333,0.2857,2.6911,189.03,5.3
41,3637.662287890911,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.6,4.71,0.94,-9.76,0.01,0.1496,0.0,1.0,FAILED,FAILED,0.1496,0.4564,0.6361,0.5,14,0.481,6,6,6,8,0.1667,0.125,0.1429,0.973,266.35,3.8
42,3637.712287891656,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.6833333333333333,4.75,0.9,-9.85,0.01,0.1268,0.0,1.0,FAILED,FAILED,0.1268,0.4405,0.6033,0.5,17,0.424,7,7,5,1,0.2,1.0,0.3333,2.5649,267.8,3.7
43,3637.762287892401,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.7666666666666666,4.8,0.88,-9.93,0.01,0.0951,0.0,1.0,FAILED,FAILED,0.0951,0.4967,0.509,0.5,12,0.402,7,2,1,7,0.0,0.0,0.0,0.0,251.22,4.0
44,3637.812287893146,lidar_dropout_ramp,Progressive LiDAR beam attenuation and environmental spray,0,1.0,0.85,4.84,0.86,-10.01,0.01,0.01,0.5,0.5,FAILED,FAILED,0.01,0.4946,0.0,1.0,11,0.345,7,0,0,1,0.0,0.0,0.0,0.0,316.88,3.2
45,3637.8622878938913,lidar_recovery,LiDAR beam recovery to nominal density,0,1.0,0.8,4.89,0.84,-10.09,0.01,0.0613,0.0,1.0,FAILED,FAILED,0.0613,0.4972,0.4579,0.5,8,0.354,7,4,2,10,0.0,0.0,0.0,0.0,277.72,3.6
